AÑO;MES;PAIS_ORIGEN;CCAA;KEY;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA;Afluencia
2022;10;España;Comunitat Valenciana;2022Comunitat Valenciana;Alicante/Alacant;57,86;57,8;84,27;12,55;75097560
2022;10;España;Comunitat Valenciana;2022Comunitat Valenciana;Castellón/Castelló;75,52;62,07;90,75;79,32;75097560
2022;10;España;Comunitat Valenciana;2022Comunitat Valenciana;Valencia/València;74,35;58,53;82,09;84;75097560
2022;10;España;Extremadura;2022Extremadura;Badajoz;72,14;70,48;89,57;36,49;6756390
2022;10;España;Extremadura;2022Extremadura;Cáceres;76,77;64,26;86,59;68,28;6756390
2022;10;España;Galicia;2022Galicia;A Coruña;74,97;51,74;89,06;88,2;17722870
2022;10;España;Galicia;2022Galicia;Lugo;74,2;50,09;84,83;81,17;17722870
2022;10;España;Galicia;2022Galicia;Ourense;75,54;48,95;83,15;94,98;17722870
2022;10;España;Galicia;2022Galicia;Pontevedra;74,53;51,81;86,3;85;17722870
2022;10;España;Illes Balears;2022Illes Balears;Illes Balears;63,61;43,26;84,51;57,81;129479670
2022;10;España;La Rioja;2022La Rioja;La Rioja;80,79;68,65;88,01;80,36;1308010
2022;10;España;País Vasco;2022País Vasco;Araba/Álava;68,84;48,93;77,35;77,51;23385180
2022;10;España;País Vasco;2022País Vasco;Bizkaia;72,11;61,51;77,28;61,89;23385180
2022;10;España;País Vasco;2022País Vasco;Gipuzkoa;65,96;51,85;89,57;34,13;23385180
2022;10;España;Principado de Asturias;2022Principado de Asturias;Asturias;75,21;55,99;81,96;77,81;4098650
2022;10;España;Región de Murcia;2022Región de Murcia;Murcia;79,76;59,64;88,57;87,99;9521960
2022;10;Estados Unidos de América;Canarias;2022Canarias;Santa Cruz de Tenerife;84,43;60,08;94,65;92,04;120812470
2022;10;Estados Unidos de América;Extremadura;2022Extremadura;Badajoz;72,08;47;83,22;75;6756390
2022;10;Francia;Cataluña;2022Cataluña;Barcelona;64,52;41,14;83,38;72,15;147148600
2022;10;Francia;Comunidad de Madrid;2022Comunidad de Madrid;Madrid;76,69;64,26;87,47;81,34;57762060
